id,parentId,type,content,x,y,detailsVisible,intent,expectedAnswer
root,,default,"新卒採用ヒアリング｜SPIN完全版",100,3480,0,"",""
sit,root,default,"① 状況把握 Situation",520,1320,0,"",""
pro,root,default,"② 課題把握 Problem",520,3320,0,"",""
imp,root,default,"③ 影響確認 Implication",520,4520,0,"",""
nee,root,default,"④ ニーズ抽出 Need-payoff",520,5480,0,"",""
sit_bg,sit,default,"話題A｜採用の背景・目的",940,280,0,"",""
sit_target,sit,default,"話題B｜採用ターゲット",940,680,0,"",""
sit_flow,sit,default,"話題C｜選考フロー",940,1160,0,"",""
sit_ch,sit,default,"話題D｜採用チャネル",940,1800,0,"",""
sit_org,sit,default,"話題E｜体制・予算",940,2360,0,"",""
pro_mb,pro,default,"話題F｜母集団・認知",940,2840,0,"",""
pro_flow,pro,default,"話題G｜選考歩留まり",940,3240,0,"",""
pro_dec,pro,default,"話題H｜辞退・承諾",940,3720,0,"",""
imp_biz,imp,default,"話題I｜現場・経営への影響",940,4200,0,"",""
imp_brand,imp,default,"話題J｜ブランドリスク",940,4520,0,"",""
imp_person,imp,default,"話題K｜担当者個人への影響",940,4840,0,"",""
nee_ideal,nee,default,"話題L｜理想状態",940,5160,0,"",""
nee_act,nee,default,"話題M｜未着手施策・意思決定",940,5640,0,"",""
bg_q1,sit_bg,question,"そもそも新卒採用を実施している背景を教えてください。既存社員の補充ですか、それとも事業拡大に向けた増員ですか？",1360,280,0,"採用の目的が補充か拡大かで緊急度・職種優先順位が変わる。課題の根本を掴む起点。","郡山・山形工場の技術担当が高齢化しており、技術継承のための補充採用が中心。"
bg_q1_a,bg_q1,question,"技術継承が目的とのことですが、何年後くらいをリミットとして考えていますか？",1780,280,0,"課題の緊急度を時間軸で把握する。リミットが近いほど即効性のある提案が刺さる。","5〜10年後には現場のベテランが定年を迎える。遅くとも3年以内に若手を育てたい。"
bg_q1_b,bg_q1_a,default,"逆に言うと、今年・来年の採用で失敗し続けると、技術継承が間に合わなくなるリスクがありますか？",2200,280,0,"採用失敗の累積リスクを認識させる。単年の課題ではなく構造的な経営リスクとして格上げする。","正直そのリスクは感じている。毎年2名以下しか入らないと追いつかない。"
bg_q2,sit_bg,question,"いつまでに採用活動を終えたいですか？内定出しの締め切りや入社日の目標はありますか？",1360,120,0,"採用期限を把握することで提案タイミングと支援範囲が決まる。","来年4月入社に向けて10月までに内定承諾を取りたい。"
bg_q2_a,bg_q2,question,"逆算すると、いつから動き始めれば間に合いますか？今の進捗はそのスケジュールに対して順調ですか？",1780,120,0,"スケジュール遅延の有無を確認する。遅れているなら緊急性の根拠になる。","3月からインターン告知を始める予定だが、まだコンテンツが準備できていない。"
bg_q3,sit_bg,question,"今年の採用予定人数と職種の内訳を教えてください。",1360,440,0,"採用ボリュームと職種構成を把握する。理系・技術職의 比率이 높을수록 채용 난이도가 올라간다.","技術職3〜4名。回路設計と機構設計が優先。"
target_q1,sit_target,question,"採用したい方に求めるスキルや経験・学歴を教えてください。必須条件と歓迎条件を分けて教えていただけますか？",1360,600,0,"ターゲット像の解像度を上げる。要件が高すぎると母集団が絞られすぎて採用難に直結する。","理工系学部卒以上が必須。電子・電気系専攻が望ましい。院卒歓迎。"
target_q1_a,target_q1,question,"その要件を満たす学生は、市場にどのくらいいると思いますか？毎年どのくらい卒業していますか？",1780,600,0,"ターゲット母数の認識を確認する。市場の少なさを一緒に認識することで課題の深刻さを共有できる。","正直わからない。理系全体は多いが、電気・電子専攻に限ると少ない印象がある。"
target_q1_b,target_q1_a,question,"その中で地方勤務OKな学生となると、さらに絞られますね。御社が戦える母集団はかなり限られると思いますか？",2200,600,0,"ターゲット設定の厳しさを数値感で認識させる。だからこそ攻めの採用が必要という文脈につなげる。","おそらくそうだと思う。だから毎年苦労している。"
target_q2,sit_target,question,"採用ターゲットの学生に対して、御社はどんな会社として認識されたいですか？",1360,760,0,"採用ブランドの目指す姿を確認する。現状とのギャップが認知・志望度課題の本質になる。","技術力があり地域に根ざしたものづくりの会社として認識されたい。"
target_q2_a,target_q2,question,"今、実際に学生からはどんな会社として見られていると思いますか？理想と現状のギャップはありますか？",1780,760,0,"理想と現実のギャップを本人に語らせる。ブランド課題の自覚を促す。","知られていないか、地味な会社というイメージが強いと思う。"
target_q2_b,target_q2_a,question,"そのギャップを埋めるために、これまで何か取り組んできましたか？",2200,760,0,"過去の取り組みを確認する。未着手なら提案余地が大きい。やってきた場合は効果検証を問う。","インターンを始めたが、まだブランディングまでは手が回っていない。"
flow_q1,sit_flow,question,"選考フローをエントリーから内定承諾まで順番に教えてください。",1360,920,0,"選考設計の全体像を把握する。ステップ数と各段階の目的を確認する。","エントリー→説明会→一次面接→二次面接→最終面接→内定→懇親会→承諾。"
flow_q2,sit_flow,question,"各選考ステップで何名ずつ通過しているか、直近の数字がわかりますか？",1360,1080,0,"歩留まりの全体像を数値で把握する。どのステップで最も落ちているかを特定する。","エントリー40→説明会25→一次15→二次8→最終5→内定4→承諾2。"
flow_q2_a,flow_q2,question,"この数字を見て、どのステップが一番課題だと思いますか？",1780,1080,0,"担当者自身に課題を言語化させる。自分で言った課題は解決意欲が高い。","内定後の承諾率と、インターンから本選考への転換が一番課題だと思う。"
flow_q2_b,flow_q2_a,question,"説明会への参加率（予約→実参加）はどのくらいですか？ドタキャンは多いですか？",2200,1080,0,"説明会の集客力と参加率を確認する。予約後のドタキャンが多い場合はリマインド・接触頻度に課題がある。","予約30名に対し参加25名. 5名はドタキャン. リマインドはメール1回だけ。"
flow_q3,sit_flow,question,"インターンに参加した学生のうち、本選考に進んだのは何名でしたか？",1360,1240,0,"インターン後の転換率を確認する。20%以下なら志望度ケアとフォロー設計が課題。","5名参加して本選考に進んだのは1名のみ。"
flow_q3_a,flow_q3,question,"インターン後に学生へのフォローはしていますか？どんな内容ですか？",1780,1240,0,"フォロー設計の有無を確認する。フォローがなければ離脱は必然で、ここに支援余地がある。","終了後にお礼メールを1通送るだけ。その後の接触はほぼない。"
