id,parentId,type,content,x,y,detailsVisible,intent,expectedAnswer
root,,default,"新卒採用ヒアリング｜みやぎ電子工業",100,400,0,"",""
s1,root,default,"① 状況把握 Situation",400,150,0,"",""
s2,root,default,"② 課題把握 Problem",400,400,0,"",""
s3,root,default,"③ 影響確認 Implication",400,650,0,"",""
s4,root,default,"④ ニーズ抽出 Need-payoff",400,900,0,"",""
q1,s1,question,"昨年の新卒採用で、内定を出した人数と最終的に入社した人数を教えてください。",700,50,1,"承諾率を計算する起点。内定数÷承諾数が低ければ辞退・ゴースト辞退が課題として浮上する。","内定4名・承諾2名など。承諾率50%以下なら辞退フォローが必要。"
q2,s1,question,"採用手法は何を使っていますか？（ナビ／スカウト／学校推薦／インターン）",700,175,1,"手法の依存構造を把握する。ナビのみなら接触チャネルが少なく母集団が限られる。スカウト未活用なら提案余地あり。","マイナビ・リクナビ掲載＋学校推薦が中心。スカウトは試したが継続できていない。"
q3,s1,question,"採用担当は何名体制ですか？専任ですか、兼務ですか？",700,300,1,"一人兼務なら工数が構造的に限界に近い。スカウトや丁寧なフォローを続けられない原因になっている。","人事1名で総務兼務。採用だけに集中できない。"
q4,s1,question,"採用にかけている年間予算はざっくりいくらくらいですか？",700,425,1,"媒体費＋運営費の合算を把握し、後で1名承諾あたりのコストを計算して見せる。費用対効果の問題提起に使う。","ナビ2媒体で約200万円＋インターン運営50万円ほど。"
q5,s2,question,"エントリーのうち、理系学生は何名くらいいましたか？",700,550,1,"母集団の質を確認する。理系が10名以下なら、ナビ依存では理系にリーチできていない構造的な問題がある。","全体で30〜40名、うち理系は10名以下。"
q6,s2,question,"インターンに参加した学生のうち、本選考に進んだのは何名でしたか？",700,675,1,"インターン後の転換率を確認する。20%以下なら志望度ケアが欠けており、フォロー設計の問題がある。","5名参加して本選考に進んだのは1名のみ。"
q7,s2,question,"内定後に辞退した学生から理由を聞けましたか？どんな理由が多かったですか？",700,800,1,"辞退の主因が地方・知名度・待遇のどれかを特定する。ゴースト辞退（連絡途絶）も発生しているか確認する。","地方勤務が理由、または連絡が取れなくなったケースがあった。"
q8,s2,question,"学生から『御社を知らない』『何をしている会社かわからない』と言われることはありますか？",700,925,1,"BtoB＋低認知の構造を確認する。採用ブランドの欠如が辞退・離脱の一因になっていないかを探る。","よく言われる。電子部品と言ってもピンとこないようだ。"
q9,s3,question,"採用が計画より少なかった年、現場でどんな問題が起きましたか？（残業・納期・受注対応など）",700,1075,1,"採用未達が現場負担・品質・納期リスクに連鎖することを確認する。採用の話を経営課題として格上げする。","郡山工場が手薄になり残業対応が続いた。一件納期がギリギリになった。"
q10,s3,question,"人手不足が続いた場合、納期対応が遅れてお客様の信頼に影響が出るリスクはありますか？",700,1200,1,"企業ブランドリスクを認識させる。採用課題が納期遅延→『期限を守れない会社』というイメージ定着につながる危険性を示す。","実際にヒヤリとした場面があった。顧客からのプレッシャーも強い。"
q11,s3,question,"採用担当として一番しんどいのはどのタイミングですか？",700,1325,1,"個人ニーズの入口。担当者の感情的な疲弊・孤独感を引き出す。ここで共感を示すと信頼関係が一段深まる。","頑張って内定を出しても辞退されたとき。一人でやっているので相談相手もいない。"
q12,s4,question,"もし理系学生が『御社で働きたい』と最初から来てくれたら、採用はどう変わると思いますか？",700,1475,1,"理想の採用状態を本人に語らせる。『量より質の採用』へのシフト意識を引き出し、提案へのブリッジにする。","最初から前向きな学生に会えれば、面接や説明に集中できる。承諾率も上がるはず。"
q13,s4,question,"本当はやりたいけど、時間や工数が足りなくてできていない施策はありますか？",700,1600,1,"スカウト・ナーチャリング等の未着手施策を確認する。『やりたいのにできない』が外部委託の動機になる。","スカウトはちゃんとやりたい。文章を書く時間がなくて続かなかった。"
q14,s4,question,"採用の結果について、社長や上長はどのくらい関心を持っていますか？",700,1725,1,"意思決定者の温度感と予算権限を確認する。上長同席の必要性と次回提案の設計に活用する。","社長は技術人材の採用を重視している。ただ予算の話は部長も絡む。"
